year,authors,title,venue,paper_url,artifacts_url,code_url,models_url,slides_url,talk_url
2025,"Kandpal*, Lester*, Raffel*, Majstorovic, Biderman, et al.","The Common Pile v0.1: An 8TB Dataset of Public Domain and Openly Licensed Text","NeurIPS Datasets and Benchmarks",https://arxiv.org/abs/2506.05217,https://huggingface.co/datasets/common-pile/v0.1,,,,
2025,"Bradshaw, Spangher, Biderman, and Colton","The Ghost in the Keys: A Disklavier Demo for Human-AI Musical Co-Creativity","NeurIPS Creative AI Track",https://arxiv.org/abs/2412.03705,,,,,
2025,"Bradshaw, Fan, Spangher, Biderman, and Colton","Scaling Self-Supervised Representation Learning for Symbolic Piano Performance","International Society for Music Information Retrieval Conference (ISMIR)",https://arxiv.org/abs/2309.12441,,https://github.com/Nospoko/piano-dataset,,,
2025,"Biderman, Mickel, and Abbasi","Write Code that People Want to Use","Championing Open-source DEvelopment in ML Workshop@ ICML25",https://arxiv.org/abs/2504.09254,,,,,
2025,"Ahdritz, Bouatta, Kadyan, et al. (incl. Biderman)","Why Has Predicting Downstream Capabilities of Frontier AI Models with Scale Remained Elusive?","International Conference on Machine Learning (ICML)",https://arxiv.org/abs/2406.04391,,,,,
2025,"van der Wal, Lesci, Muller-Eberstein, Saphra, Schoelkopf, Zuidema, and Biderman","Polypythias: Stability and outliers across fifty language model pre-training runs","International Conference on Learning Representations (ICLR)",https://arxiv.org/abs/2502.05526,,https://github.com/EleutherAI/polypythias,https://huggingface.co/EleutherAI/polypythias,,
2025,"Longpre, et al. (incl. Biderman)","Bridging the data provenance gap across text, speech and video","International Conference on Learning Representations (ICLR)",https://arxiv.org/abs/2412.17847,,,,,
2025,"Prashanth*, Deng*, O'Brien*, et al. (incl. Biderman)","Recite, reconstruct, recollect: Memorization in lms as a multifaceted phenomenon","International Conference on Learning Representations (ICLR)",https://arxiv.org/abs/2406.17486,,https://github.com/vsamuel2003/memorization,,,
2025,"Sharkey*, Chughtai*, et al. (incl. Biderman)","Open problems in mechanistic interpretability","Transactions on Machine Learning Research (TMLR)",https://arxiv.org/abs/2501.16496,,,,,
2024,"Groeneveld, et al. (incl. Biderman)","OLMo: Accelerating the Science of Language Models","Annual Meeting of the Association for Computational Linguistics (ACL)",https://arxiv.org/abs/2402.00838,,https://github.com/allenai/OLMo,https://huggingface.co/allenai/OLMo-7B,,
2024,"Biderman, Gonzales, Sutawika, Schoelkopf, Anthony, Purohit, and Avaiga","Llemma: An Open Language Model for Mathematics","International Conference on Learning Representations (ICLR)",https://arxiv.org/abs/2310.10631,,https://github.com/EleutherAI/llemma,https://huggingface.co/EleutherAI/llemma_7b,,
2024,"Barak, Edelman, Goel, Kakade, Malach, and Biderman","Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit","Advances in Neural Information Processing Systems (NeurIPS)",https://arxiv.org/abs/2207.08799,,,,,
2024,"Biderman, Portes, and Henighan","Predicting Scale Without Pretraining: An Inference-Time Approach","International Conference on Machine Learning (ICML)",https://arxiv.org/abs/2212.03165,,,,,
2023,"Biderman, Schoelkopf, Anthony, Bradley, O'Brien, Hallahan, Khan, Mishra, Prashanth, Sutawika, Beeching, Le Scao, Von Werra, and Skowron","Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling","International Conference on Machine Learning (ICML)",https://arxiv.org/abs/2304.01373,,https://github.com/EleutherAI/pythia,https://huggingface.co/EleutherAI/pythia-70m,,
2023,"Biderman and Scheirer","Tell Me a Story: Using Narrative as a Teaching Tool","ICML Workshop on Challenges in Deployable Generative AI",https://arxiv.org/abs/2203.09719,,,,,
2023,"Biderman, Prashanth, Sutawika, Anthony, Bradley, Khan, and Raff","Emergent and Predictable Memorization in Large Language Models","Advances in Neural Information Processing Systems (NeurIPS)",https://arxiv.org/abs/2304.11158,,,,,
2023,"Xie, et al. (incl. Biderman)","Data Selection for Language Models via Importance Resampling","Advances in Neural Information Processing Systems (NeurIPS)",https://arxiv.org/abs/2302.03169,,https://github.com/p-lambda/dsir,,,
